date,EMA
2015-09-02,36.2558
2015-09-01,36.3288
2015-08-31,36.4978
2015-08-28,36.5635
2015-08-27,36.6014
2015-08-26,36.6507
2015-08-25,36.7916
2015-08-24,37.1257
2015-08-21,37.4537
2015-08-20,37.6829
2015-08-19,37.7888
2015-08-18,37.8092
2015-08-17,37.8055
2015-08-14,37.7807
2015-08-13,37.7759
2015-08-12,37.7903
2015-08-11,37.7949
2015-08-10,37.8178
2015-08-07,37.7831
2015-08-06,37.8066
2015-08-05,37.8355
2015-08-04,37.828
2015-08-03,37.8582
2015-07-31,37.868
2015-07-30,37.8574
2015-07-29,37.8324
2015-07-28,37.8124
2015-07-27,37.8165
2015-07-24,37.8567
2015-07-23,37.8655
2015-07-22,37.8537
2015-07-21,37.8321
2015-07-20,37.7426
2015-07-17,37.6164
2015-07-16,37.4985
2015-07-15,37.4301
2015-07-14,37.4053
2015-07-13,37.3788
2015-07-10,37.3645
2015-07-09,37.4078
2015-07-08,37.5167
2015-07-07,37.622
2015-07-06,37.6746
2015-07-02,37.7384
2015-07-01,37.793
2015-06-30,37.8589
2015-06-29,37.958
2015-06-26,38.0713
2015-06-25,38.1121
2015-06-24,38.1233
2015-06-23,38.1264
2015-06-22,38.111
2015-06-19,38.0968
2015-06-18,38.114
2015-06-17,38.0996
2015-06-16,38.1192
2015-06-15,38.1427
2015-06-12,38.1949
2015-06-11,38.2283
2015-06-10,38.2297
2015-06-09,38.2331
2015-06-08,38.2985
2015-06-05,38.3614
2015-06-04,38.3862
2015-06-03,38.4004
2015-06-02,38.3788
2015-06-01,38.3633
2015-05-29,38.3378
2015-05-28,38.3208
2015-05-27,38.2721
2015-05-26,38.2099
2015-05-22,38.2168
2015-05-21,38.1656
2015-05-20,38.1062
2015-05-19,38.0582
2015-05-18,38.0081
2015-05-15,37.9423
2015-05-14,37.8893
2015-05-13,37.8176
2015-05-12,37.8029
2015-05-11,37.8034
2015-05-08,37.7825
2015-05-07,37.7388
2015-05-06,37.7475
2015-05-05,37.7861
2015-05-04,37.7952
2015-05-01,37.7425
2015-04-30,37.6881
2015-04-29,37.6765
2015-04-28,37.6077
2015-04-27,37.512
2015-04-24,37.4192
2015-04-23,37.328
2015-04-22,37.2617
2015-04-21,37.2043
2015-04-20,37.1811
2015-04-17,37.1535
2015-04-16,37.1894
2015-04-15,37.1748
2015-04-14,37.1447
2015-04-13,37.1461
2015-04-10,37.1354
2015-04-09,37.1123
2015-04-08,37.1018
2015-04-07,37.1005
2015-04-06,37.1112
2015-04-02,37.1146
2015-04-01,37.1557
2015-03-31,37.2002
2015-03-30,37.2438
2015-03-27,37.2518
2015-03-26,37.3074
2015-03-25,37.3716
2015-03-24,37.4454
2015-03-23,37.4251
2015-03-20,37.3896
2015-03-19,37.3503
2015-03-18,37.3324
2015-03-17,37.3014
2015-03-16,37.3202
2015-03-13,37.3419
2015-03-12,37.4114
2015-03-11,37.4669
2015-03-10,37.5534
2015-03-09,37.6238
2015-03-06,37.6207
2015-03-05,37.6359
2015-03-04,37.6034
2015-03-03,37.5627
2015-03-02,37.502
2015-02-27,37.4079
2015-02-26,37.3355
2015-02-25,37.2416
2015-02-24,37.1629
2015-02-23,37.0507
2015-02-20,36.9389
2015-02-19,36.8181
2015-02-18,36.7051
2015-02-17,36.5941
2015-02-13,36.4751
2015-02-12,36.3455
2015-02-11,36.2274
2015-02-10,36.1499
2015-02-09,36.0791
2015-02-06,36.0576
2015-02-05,36.0283
2015-02-04,35.9838
2015-02-03,35.97
2015-02-02,35.9622
2015-01-30,35.9963
2015-01-29,36.0722
2015-01-28,36.1096
2015-01-27,36.1863
2015-01-26,36.2645
2015-01-23,36.2402
2015-01-22,36.1975
2015-01-21,36.1495
2015-01-20,36.1587
2015-01-16,36.1753
2015-01-15,36.2254
2015-01-14,36.3171
2015-01-13,36.37
2015-01-12,36.4071
2015-01-09,36.4452
2015-01-08,36.4428
2015-01-07,36.428
2015-01-06,36.4944
2015-01-05,36.5995
2015-01-02,36.67
2014-12-31,36.6893
2014-12-30,36.7032
2014-12-29,36.6758
2014-12-26,36.6176
2014-12-24,36.5337
2014-12-23,36.4577
2014-12-22,36.37
2014-12-19,36.2833
2014-12-18,36.234
2014-12-17,36.1838
2014-12-16,36.2358
2014-12-15,36.3626
2014-12-12,36.4528
2014-12-11,36.5298
2014-12-10,36.558
2014-12-09,36.6058
2014-12-08,36.6003
2014-12-05,36.5933
2014-12-04,36.5457
2014-12-03,36.4886
2014-12-02,36.4254
2014-12-01,36.3694
2014-11-28,36.309
2014-11-26,36.1972
2014-11-25,36.0923
2014-11-24,36.0114
2014-11-21,35.9239
2014-11-20,35.8476
2014-11-19,35.7688
2014-11-18,35.7011
2014-11-17,35.6013
2014-11-14,35.504
2014-11-13,35.389
2014-11-12,35.2887
2014-11-11,35.1983
2014-11-10,35.1104
2014-11-07,35.0151
