date,EMA
2015-04-27,13.9825
2015-04-24,13.8294
2015-04-23,13.7523
2015-04-22,13.6659
2015-04-21,13.5645
2015-04-20,13.5228
2015-04-17,13.5057
2015-04-16,13.4762
2015-04-15,13.4442
2015-04-14,13.401
2015-04-13,13.3557
2015-04-10,13.2895
2015-04-09,13.2084
2015-04-08,13.1244
2015-04-07,13.0486
2015-04-06,12.9958
2015-04-02,12.9385
2015-04-01,12.9601
2015-03-31,13.0079
2015-03-30,13.0525
2015-03-27,13.0891
2015-03-26,13.1686
2015-03-25,13.2186
2015-03-24,13.2466
2015-03-23,13.2254
2015-03-20,13.2166
2015-03-19,13.2178
2015-03-18,13.2361
2015-03-17,13.2209
2015-03-16,13.2461
2015-03-13,13.2671
2015-03-12,13.3395
2015-03-11,13.4028
2015-03-10,13.4541
2015-03-09,13.5347
2015-03-06,13.6199
2015-03-05,13.693
2015-03-04,13.7265
2015-03-03,13.7508
2015-03-02,13.7978
2015-02-27,13.8655
2015-02-26,13.8981
2015-02-25,13.9071
2015-02-24,13.9411
2015-02-23,13.9762
2015-02-20,13.9924
2015-02-19,13.9417
2015-02-18,13.9236
2015-02-17,13.9544
2015-02-13,13.9893
2015-02-12,14.0319
2015-02-11,14.0852
2015-02-10,14.0745
2015-02-09,14.0382
2015-02-06,13.9897
2015-02-05,13.937
2015-02-04,13.8532
2015-02-03,13.7778
2015-02-02,13.6957
2015-01-30,13.6571
2015-01-29,13.6659
2015-01-28,13.6644
2015-01-27,13.7037
2015-01-26,13.7007
2015-01-23,13.6934
2015-01-22,13.7223
2015-01-21,13.7518
2015-01-20,13.82
2015-01-16,13.9278
2015-01-15,14.039
2015-01-14,14.1704
2015-01-13,14.3098
2015-01-12,14.3827
2015-01-09,14.4777
2015-01-08,14.5514
2015-01-07,14.6052
2015-01-06,14.6622
2015-01-05,14.7229
2015-01-02,14.7984
2014-12-31,14.8171
2014-12-30,14.816
2014-12-29,14.8161
2014-12-26,14.7917
2014-12-24,14.75
2014-12-23,14.7429
2014-12-22,14.7441
2014-12-19,14.734
2014-12-18,14.7461
2014-12-17,14.7667
2014-12-16,14.8767
2014-12-15,15.0546
2014-12-12,15.2074
2014-12-11,15.3555
2014-12-10,15.5061
2014-12-09,15.6658
2014-12-08,15.7927
2014-12-05,15.9509
2014-12-04,16.06
2014-12-03,16.1486
2014-12-02,16.2393
2014-12-01,16.3246
2014-11-28,16.4175
2014-11-26,16.4297
2014-11-25,16.4157
2014-11-24,16.4027
2014-11-21,16.3979
2014-11-20,16.4203
2014-11-19,16.4034
2014-11-18,16.3915
2014-11-17,16.3085
2014-11-14,16.2429
2014-11-13,16.1374
2014-11-12,16.0697
2014-11-11,16.0132
2014-11-10,15.9369
2014-11-07,15.9167
2014-11-06,15.9065
2014-11-05,15.8881
2014-11-04,15.9397
2014-11-03,15.9408
2014-10-31,15.9164
2014-10-30,15.8957
2014-10-29,15.8941
2014-10-28,15.8963
2014-10-27,15.866
2014-10-24,15.9805
2014-10-23,16.0118
2014-10-22,16.0461
2014-10-21,16.1134
2014-10-20,16.1581
2014-10-17,16.2416
2014-10-16,16.3549
2014-10-15,16.488
2014-10-14,16.6117
2014-10-13,16.7669
2014-10-10,16.9558
2014-10-09,17.078
2014-10-08,17.0722
2014-10-07,17.0497
2014-10-06,17.0229
2014-10-03,16.9858
2014-10-02,16.9829
2014-10-01,17.0062
2014-09-30,17.1104
2014-09-29,17.2085
2014-09-26,17.2988
2014-09-25,17.3892
2014-09-24,17.4867
2014-09-23,17.558
2014-09-22,17.6489
2014-09-19,17.7521
2014-09-18,17.801
2014-09-17,17.8234
2014-09-16,17.8653
2014-09-15,17.9161
2014-09-12,18.0205
2014-09-11,17.9581
2014-09-10,17.8814
2014-09-09,17.791
2014-09-08,17.7095
2014-09-05,17.5939
2014-09-04,17.4993
2014-09-03,17.334
2014-09-02,17.1854
2014-08-29,17.0006
2014-08-28,16.8975
2014-08-27,16.8245
2014-08-26,16.7481
2014-08-25,16.6743
2014-08-22,16.5871
2014-08-21,16.5311
2014-08-20,16.4864
2014-08-19,16.4273
2014-08-18,16.3547
2014-08-15,16.2521
2014-08-14,16.1242
2014-08-13,15.9872
2014-08-12,15.8434
2014-08-11,15.6868
2014-08-08,15.5183
2014-08-07,15.4105
2014-08-06,15.2615
2014-08-05,15.1211
2014-08-04,15.0392
2014-08-01,14.9484
2014-07-31,14.885
2014-07-30,14.8848
2014-07-29,14.8451
2014-07-28,14.8288
2014-07-25,14.812
2014-07-24,14.8022
2014-07-23,14.7917
2014-07-22,14.7874
2014-07-21,14.803
2014-07-18,14.8136
2014-07-17,14.8289
2014-07-16,14.8783
2014-07-15,14.9205
2014-07-14,14.9501
2014-07-11,14.9329
2014-07-10,14.9741
2014-07-09,15.0102
2014-07-08,15.0249
2014-07-07,15.0692
2014-07-03,15.0929
2014-07-02,15.0728
2014-07-01,15.0494
2014-06-30,14.9513
2014-06-27,14.8405
2014-06-26,14.7251
2014-06-25,14.6218
2014-06-24,14.4985
2014-06-23,14.3931
2014-06-20,14.2434
2014-06-19,14.1316
2014-06-18,14.0206
2014-06-17,13.9026
2014-06-16,13.7403
2014-06-13,13.6105
2014-06-12,13.5946
2014-06-11,13.5974
2014-06-10,13.5938
2014-06-09,13.6051
2014-06-06,13.5964
2014-06-05,13.5668
2014-06-04,13.5429
2014-06-03,13.537
2014-06-02,13.5237
2014-05-30,13.5108
2014-05-29,13.475
2014-05-28,13.418
2014-05-27,13.3551
2014-05-23,13.2762
2014-05-22,13.219
2014-05-21,13.1727
2014-05-20,13.1596
2014-05-19,13.1743
2014-05-16,13.185
2014-05-15,13.2287
2014-05-14,13.2977
2014-05-13,13.3598
2014-05-12,13.4316
2014-05-09,13.5496
2014-05-08,13.6968
2014-05-07,13.8853
2014-05-06,13.9339
2014-05-05,13.9461
2014-05-02,13.894
2014-05-01,13.8765
2014-04-30,13.8794
2014-04-29,13.8815
2014-04-28,13.8907
2014-04-25,13.9598
2014-04-24,14.0268
2014-04-23,14.0446
2014-04-22,14.0634
2014-04-21,14.0095
2014-04-17,14.0499
2014-04-16,14.1385
2014-04-15,14.2295
2014-04-14,14.3666
2014-04-11,14.4888
2014-04-10,14.5839
2014-04-09,14.6861
2014-04-08,14.7097
2014-04-07,14.7461
2014-04-04,14.842
2014-04-03,14.915
2014-04-02,14.9033
2014-04-01,14.856
2014-03-31,14.8972
2014-03-28,15.0025
2014-03-27,15.0914
2014-03-26,15.2251
2014-03-25,15.3332
2014-03-24,15.4003
2014-03-21,15.4764
2014-03-20,15.4992
2014-03-19,15.4822
2014-03-18,15.4569
2014-03-17,15.3994
2014-03-14,15.3785
2014-03-13,15.3764
2014-03-12,15.3263
2014-03-11,15.2449
2014-03-10,15.2047
2014-03-07,15.1291
2014-03-06,14.9938
2014-03-05,14.7971
2014-03-04,14.5816
2014-03-03,14.3282
2014-02-28,14.0781
2014-02-27,13.8421
2014-02-26,13.5269
2014-02-25,13.1753
2014-02-24,12.8219
2014-02-21,12.6442
2014-02-20,12.5043
2014-02-19,12.347
2014-02-18,12.2878
2014-02-14,12.1518
2014-02-13,12.0399
2014-02-12,11.9063
2014-02-11,11.789
2014-02-10,11.6501
2014-02-07,11.4971
2014-02-06,11.3983
2014-02-05,11.3463
2014-02-04,11.3167
2014-02-03,11.2537
2014-01-31,11.1954
2014-01-30,11.1008
2014-01-29,10.9862
2014-01-28,10.913
2014-01-27,10.8099
2014-01-24,10.7575
2014-01-23,10.6646
2014-01-22,10.5135
2014-01-21,10.3671
2014-01-17,10.2185
2014-01-16,10.1011
2014-01-15,9.9646
2014-01-14,9.8617
2014-01-13,9.7681
2014-01-10,9.8185
2014-01-09,9.8294
2014-01-08,9.8288
2014-01-07,9.8018
2014-01-06,9.7854
2014-01-03,9.7838
2014-01-02,9.7642
2013-12-31,9.7387
2013-12-30,9.7081
2013-12-27,9.6603
2013-12-26,9.6167
2013-12-24,9.5377
2013-12-23,9.4792
2013-12-20,9.4696
2013-12-19,9.4612
2013-12-18,9.4696
2013-12-17,9.428
2013-12-16,9.3505
2013-12-13,9.2966
2013-12-12,9.239
2013-12-11,9.1767
2013-12-10,9.1626
2013-12-09,9.1293
2013-12-06,9.0966
2013-12-05,9.0902
2013-12-04,9.0612
2013-12-03,9.0399
2013-12-02,8.9761
2013-11-29,9.0496
2013-11-27,9.109
2013-11-26,9.177
2013-11-25,9.2974
2013-11-22,9.428
2013-11-21,9.5687
2013-11-20,9.7191
2013-11-19,9.8922
2013-11-18,10.0487
2013-11-15,10.2532
2013-11-14,10.382
2013-11-13,10.5092
2013-11-12,10.6421
2013-11-11,10.7953
2013-11-08,10.9163
2013-11-07,11.0973
2013-11-06,11.2845
2013-11-05,11.4116
2013-11-04,11.3721
2013-11-01,11.3397
2013-10-31,11.3953
2013-10-30,11.4724
2013-10-29,11.5627
2013-10-28,11.6256
2013-10-25,11.7065
2013-10-24,11.7482
2013-10-23,11.7697
2013-10-22,11.8543
2013-10-21,11.8983
2013-10-18,11.9395
2013-10-17,11.9093
2013-10-16,11.8801
2013-10-15,11.8425
2013-10-14,11.7982
2013-10-11,11.779
2013-10-10,11.7648
2013-10-09,11.7897
2013-10-08,11.8463
2013-10-07,11.8671
2013-10-04,11.8316
2013-10-03,11.8069
2013-10-02,11.8336
2013-10-01,11.8094
2013-09-30,11.6981
2013-09-27,11.5725
2013-09-26,11.451
2013-09-25,11.3326
2013-09-24,11.2256
2013-09-23,11.1277
2013-09-20,11.0281
2013-09-19,10.902
2013-09-18,10.801
2013-09-17,10.7715
2013-09-16,10.7388
2013-09-13,10.7002
2013-09-12,10.6649
2013-09-11,10.6301
2013-09-10,10.6015
2013-09-09,10.55
2013-09-06,10.5328
2013-09-05,10.4698
2013-09-04,10.3794
2013-09-03,10.2746
2013-08-30,10.1706
2013-08-29,10.0552
2013-08-28,9.9483
2013-08-27,9.8274
2013-08-26,9.6899
2013-08-23,9.5575
2013-08-22,9.4278
2013-08-21,9.3178
2013-08-20,9.261
2013-08-19,9.1861
2013-08-16,9.1362
2013-08-15,9.1015
2013-08-14,9.0794
2013-08-13,9.0571
2013-08-12,8.9899
2013-08-09,8.902
2013-08-08,8.7654
2013-08-07,8.611
2013-08-06,8.5755
2013-08-05,8.4806
2013-08-02,8.358
2013-08-01,8.2693
2013-07-31,8.1886
2013-07-30,8.1082
2013-07-29,8.0372
2013-07-26,7.9385
2013-07-25,7.8662
2013-07-24,7.8235
2013-07-23,7.793
2013-07-22,7.752
2013-07-19,7.7089
2013-07-18,7.6805
2013-07-17,7.6536
2013-07-16,7.6154
2013-07-15,7.6518
2013-07-12,7.5642
2013-07-11,7.4488
2013-07-10,7.3514
2013-07-09,7.2672
2013-07-08,7.1659
2013-07-05,7.0668
2013-07-03,6.9679
2013-07-02,6.8927
2013-07-01,6.7914
2013-06-28,6.684
2013-06-27,6.6342
2013-06-26,6.5658
2013-06-25,6.5151
2013-06-24,6.4823
2013-06-21,6.4524
2013-06-20,6.433
2013-06-19,6.4039
2013-06-18,6.3434
2013-06-17,6.2855
2013-06-14,6.23
2013-06-13,6.1819
2013-06-12,6.1437
2013-06-11,6.1045
2013-06-10,6.0842
2013-06-07,6.0225
2013-06-06,5.9404
2013-06-05,5.8825
2013-06-04,5.8325
2013-06-03,5.7809
2013-05-31,5.7396
2013-05-30,5.6578
2013-05-29,5.5168
2013-05-28,5.3633
2013-05-24,5.1536
2013-05-23,5.0148
2013-05-22,4.892
2013-05-21,4.7947
2013-05-20,4.6847
2013-05-17,4.5467
2013-05-16,4.3832
2013-05-15,4.1973
2013-05-14,4.0437
2013-05-13,3.8852
2013-05-10,3.678
2013-05-09,3.5265
2013-05-08,3.4107
2013-05-07,3.3782
2013-05-06,3.3443
2013-05-03,3.2788
2013-05-02,3.2411
2013-05-01,3.2025
2013-04-30,3.1658
2013-04-29,3.1201
2013-04-26,3.063
2013-04-25,3.0261
2013-04-24,2.9798
2013-04-23,2.9395
2013-04-22,2.891
2013-04-19,2.8431
2013-04-18,2.8067
2013-04-17,2.7725
2013-04-16,2.7454
2013-04-15,2.7145
2013-04-12,2.6964
2013-04-11,2.6732
2013-04-10,2.6487
2013-04-09,2.6337
2013-04-08,2.6267
2013-04-05,2.6097
2013-04-04,2.5941
2013-04-03,2.5723
2013-04-02,2.5547
2013-04-01,2.5125
2013-03-28,2.4686
2013-03-27,2.4626
2013-03-26,2.454
2013-03-25,2.4467
2013-03-22,2.4409
2013-03-21,2.4408
2013-03-20,2.445
2013-03-19,2.4501
2013-03-18,2.4619
2013-03-15,2.4743
2013-03-14,2.4871
2013-03-13,2.4903
2013-03-12,2.4789
2013-03-11,2.4654
2013-03-08,2.4505
2013-03-07,2.4385
2013-03-06,2.4269
2013-03-05,2.4178
2013-03-04,2.4151
2013-03-01,2.4197
2013-02-28,2.4312
2013-02-27,2.4427
2013-02-26,2.4535
2013-02-25,2.4702
2013-02-22,2.4889
2013-02-21,2.4975
2013-02-20,2.5137
2013-02-19,2.5078
2013-02-15,2.4962
2013-02-14,2.499
2013-02-13,2.4933
2013-02-12,2.4859
2013-02-11,2.4817
2013-02-08,2.4733
2013-02-07,2.4583
2013-02-06,2.44
2013-02-05,2.422
2013-02-04,2.4093
2013-02-01,2.3981
2013-01-31,2.3818
2013-01-30,2.3693
2013-01-29,2.3554
2013-01-28,2.337
2013-01-25,2.3161
2013-01-24,2.3004
2013-01-23,2.283
2013-01-22,2.2706
2013-01-18,2.2627
2013-01-17,2.2586
2013-01-16,2.2551
2013-01-15,2.2532
2013-01-14,2.2525
2013-01-11,2.2562
2013-01-10,2.2627
