date,ADX
2015-03-23,16.6277
2015-03-20,17.2862
2015-03-19,17.8571
2015-03-18,18.1317
2015-03-17,18.4207
2015-03-16,17.8011
2015-03-13,16.9504
2015-03-12,15.8772
2015-03-11,14.8679
2015-03-10,14.3437
2015-03-09,13.91
2015-03-06,13.5532
2015-03-05,13.1638
2015-03-04,13.1789
2015-03-03,13.2351
2015-03-02,13.4331
2015-02-27,13.9591
2015-02-26,14.591
2015-02-25,15.2992
2015-02-24,16.0676
2015-02-23,16.8699
2015-02-20,17.7305
2015-02-19,18.4374
2015-02-18,18.9481
2015-02-17,19.6797
2015-02-13,20.4498
2015-02-12,20.9869
2015-02-11,21.0286
2015-02-10,20.751
2015-02-09,20.4588
2015-02-06,20.1634
2015-02-05,19.8525
2015-02-04,19.4299
2015-02-03,18.7112
2015-02-02,17.7737
2015-01-30,16.4162
2015-01-29,15.0188
2015-01-28,13.6631
2015-01-27,12.3347
2015-01-26,11.2037
2015-01-23,11.7334
2015-01-22,11.9026
2015-01-21,12.2376
2015-01-20,12.4903
2015-01-16,12.8145
2015-01-15,12.8819
2015-01-14,13.0976
2015-01-13,13.4521
2015-01-12,14.0998
2015-01-09,14.5336
2015-01-08,15.2646
2015-01-07,16.057
2015-01-06,15.9589
2015-01-05,15.884
2015-01-02,16.2266
2014-12-31,16.7738
2014-12-30,17.3498
2014-12-29,18.2029
2014-12-26,18.9416
2014-12-24,19.319
2014-12-23,19.5207
2014-12-22,19.6959
